transaction_date,voucher_number,ref_number,narration,chart_of_acc_head,account_head_group,Debit,Credit,Voucher_Type,group_no,group_name,_clean_text
2022-08-01,CPV220800019,BD-0287,"Labour bill payment for New internal road, 8th plant silo, 11th plant machineries painting work & Scrub room repair purpose.",CWIP New Internal Road (Without Asphalt):DO/2022/002,BMRE of Shahjahanpur Factory:DO/2022/002,3300.0,0.0000,Payment[Cash],1,group_1,cwip new internal road do/ /
2022-08-01,CPV220800019,BD-0287,"Labour bill payment for New internal road, 8th plant silo, 11th plant machineries painting work & Scrub room repair purpose.",CWIP Civil Work of 7 RM Silo:VC/2022/014,CWIP Seven RM Silo in SP:VC/2022/014,5950.0,0.0000,Payment[Cash],2,group_2,cwip civil work of rm silo vc/ /
2022-08-01,CPV220800019,BD-0287,"Labour bill payment for New internal road, 8th plant silo, 11th plant machineries painting work & Scrub room repair purpose.",Repairs & Maint-Fac P&M,Fac Repairs Maintenance,1000.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac p&m
2022-08-01,CPV220800019,BD-0287,"Labour bill payment for New internal road, 8th plant silo, 11th plant machineries painting work & Scrub room repair purpose.",Repairs & Maint-Others,Fac Repairs Maintenance,1900.0,0.0000,Payment[Cash],3,group_3,repairs & maint-others
2022-08-01,CPV220800019,BD-0287,"Labour bill payment for New internal road, 8th plant silo, 11th plant machineries painting work & Scrub room repair purpose.",Bogra Plant Cash,Cash-in-Hand,0.0,12150.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800020,BD-0288,For Office Canteen.,Fac Canteen Expenses,Fac Canteen Expenses,2044.0,0.0000,Payment[Cash],5,group_5,fac canteen expenses
2022-08-01,CPV220800020,BD-0288,For Office Canteen.,Bogra Plant Cash,Cash-in-Hand,0.0,2044.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800021,BD-0289,Paper bill  payment for the month of  July\'22.,Fac Books & Newspaper,Factory Overhead (Indirect),306.0,0.0000,Payment[Cash],6,group_6,fac books & newspaper
2022-08-01,CPV220800021,BD-0289,Paper bill  payment for the month of  July\'22.,Bogra Plant Cash,Cash-in-Hand,0.0,306.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800022,BD-0290,"Amount paid to renewal of fire license No Bog/1330, Bog/176 [ Office Cost Tk. 6000, Challan Cost Tk. 2978]",Registration & Renewal,Administrative Expenses,8978.0,0.0000,Payment[Cash],7,group_7,registration & renewal
